date,open,high,low,close,volume
2022-10-13,55400,56100,55200,55200,13784602
2022-10-14,56200,56500,55800,56300,12924326
2022-10-17,55800,57000,55700,56600,13641878
2022-10-18,56700,57100,55800,56500,14820702
2022-10-19,56700,56900,55700,55800,12660652
2022-10-20,55200,56000,55100,55500,17107653
2022-10-21,55100,56300,55100,55900,11456060
2022-10-24,57000,57500,56700,57500,16944503
2022-10-25,57000,58600,57000,57700,17405678
2022-10-26,58000,59600,57700,59400,20824967
2022-10-27,59700,60100,58900,59500,21756712
2022-10-28,58900,59200,57200,57300,20924937
2022-10-31,58100,59900,58000,59400,18999514
2022-11-01,59900,60300,59500,60000,17201647
2022-11-02,59700,60000,59300,59600,13202919
2022-11-03,58600,59800,58100,59200,17492162
2022-11-04,59100,59500,58400,59400,12445841
2022-11-07,59700,60300,59400,60200,12437246
2022-11-08,60500,61900,60500,61800,18273898
2022-11-09,62000,62200,61300,62000,14045592
2022-11-10,61400,61500,60400,60400,21087633
2022-11-11,63100,63200,62300,62900,20037163
2022-11-14,62900,62900,61700,61900,15973416
2022-11-15,62200,62500,61600,62400,12310986
2022-11-16,62400,62700,61700,62700,12909260
2022-11-17,62000,62000,61300,61400,13298296
2022-11-18,61800,62400,61400,61800,12236503
2022-11-21,61400,61800,60800,61400,9378097
2022-11-22,60900,61200,60300,60600,9411289
2022-11-23,61200,61300,60700,61000,8765050
2022-11-24,61200,61700,60900,61400,8125010
2022-11-25,61400,61700,60800,61000,6677933
2022-11-28,60500,60500,59800,60100,8589032
2022-11-29,59900,60600,59800,60600,7014160
2022-11-30,60400,62200,60200,62200,19768903
2022-12-01,63100,63200,62300,62600,16631445
2022-12-02,62500,62500,60400,60400,15331184
2022-12-05,60900,61100,60000,60300,13767787
2022-12-06,59800,60100,59200,59200,13888300
2022-12-07,58800,59600,58500,58900,12100662
2022-12-08,58700,59200,58600,59200,12986815
2022-12-09,59300,60600,59300,60400,10529632
2022-12-12,59900,60000,59400,59500,9036472
2022-12-13,59600,60300,59400,59700,9040873
2022-12-14,59800,60600,59800,60500,8207485
2022-12-15,59800,60200,59300,59300,8716039
2022-12-16,58300,59500,58300,59500,13033596
2022-12-19,59500,59900,59100,59500,7696187
2022-12-20,59000,59100,58500,58600,9284761
2022-12-21,58700,59100,58000,58000,10356971
2022-12-22,58100,59100,58100,59100,10720630
2022-12-23,58200,58400,57700,58100,9829407
2022-12-26,58000,58100,57700,57900,6756411
2022-12-27,58000,58400,57900,58100,10667027
2022-12-28,57600,57600,56400,56600,14665410
2022-12-29,56000,56200,55300,55300,11295935
2023-01-02,55500,56100,55200,55500,10031448
2023-01-03,55400,56000,54500,55400,13547030
2023-01-04,55700,58000,55600,57800,20188071
2023-01-05,58200,58800,57600,58200,15682826
2023-01-06,58300,59400,57900,59000,17334989
2023-01-09,59700,60700,59600,60700,18640107
2023-01-10,60200,61100,59900,60400,14859797
2023-01-11,61000,61200,60300,60500,12310751
2023-01-12,61100,61200,59900,60500,16102561
2023-01-13,60500,61200,60400,60800,12510328
2023-01-16,61300,61600,60800,61100,10039972
2023-01-17,61200,61500,60600,61000,9831456
2023-01-18,60700,61000,59900,60400,11584041
2023-01-19,60500,61500,60400,61500,12808490
2023-01-20,62100,62300,61100,61800,9646327
2023-01-25,63500,63700,63000,63400,16822710
2023-01-26,63800,63900,63300,63900,13278277
2023-01-27,64400,65000,63900,64600,18760182
2023-01-30,64900,64900,63100,63300,20995234
2023-01-31,63500,63700,61000,61000,29746731
2023-02-01,62600,62700,61000,61800,18570133
2023-02-02,63200,63900,62600,63500,23285983
2023-02-03,63900,64000,63000,63800,15194598
2023-02-06,62800,63000,61600,61600,15529356
2023-02-07,61900,62500,61600,61900,14491039
2023-02-08,62800,63300,62400,63100,12243125
